,drug_labels,drug_rxcui,indications_label,indications_mondo,indications_umls
908,BETAXOLOL|BETAXOLOL.|BETOPTIC|BETOPTIC S,1520,,,
909,Levitra|STAXYN|VARDENAFIL|VARDENAFIL HYDROCHLORIDE,306674,,,
910,AZELASTINE|AZELASTINE HYDROCHLORIDE|AZELASTINE HYDROCHLORIDE.|AZELASTINE.|AZELASTINE/FLUTICASONE|DYMISTA,1291859,Rhinitis allergic|Conjunctivitis allergic|Seasonal allergy|Hypersensitivity|Sinusitis|Sinus disorder|Rhinitis,MONDO:0011786|MONDO:0005642|MONDO:0005324|MONDO:0005271|MONDO:0005961|MONDO:0001735|MONDO:0003014,C2607914|C0009766|C0018621|C0020517|C0037199|C0030469|C0035455
911,ALIQOPA|COPANLISIB|COPANLISIB.,1945077,,,
912,MODAFINIL|MODAFINIL.|PROVIGIL,30125,Narcolepsy|Sleep apnoea syndrome|Hypersomnia|Multiple sclerosis,MONDO:0021107|MONDO:0007147|MONDO:0005466|MONDO:0005301,C0027404|C0037315|C0917799|C0026769
913,OPIPRAMOL,7674,,,
914,AMOX-CLAV|Amoxicillin|AMOXICILLIN 500 MG|AMOXICILLIN CLAVULANIC ACID|AMOXICILLIN-CLAVULANIC ACID|AMOXICILLIN.|Amoxicillin/Clavulanate|AUGMENTIN|CLAVAMOX|Co-Amoxiclav,19711,Sinusitis|Ear infection|Bronchitis|Urinary tract infection|Tooth abscess|Pneumonia|Tonsillitis|Pharyngitis|Otitis media|Cellulitis|Nasopharyngitis|Otitis media acute|Bacterial infection|Streptococcal infection,MONDO:0005961|MONDO:0021666|MONDO:0003781|MONDO:0005247|MONDO:0000750|MONDO:0005249|MONDO:0001039|MONDO:0002258|MONDO:0005441|MONDO:0005230|MONDO:0001040|MONDO:0024330|MONDO:0015575|MONDO:0021680,C0037199|C0699744|C0006277|C0042029|C0518988|C0032285|C0040425|C0031350|C0029882|C0007642|C0027441|C0271429|C0004623|C0038395
915,OPIUM|OPIUM TINCTURE|OPIUM.,7676,,,
916,DOXIL|LIPODOX|LIPOSOMAL DOXORUBICIN|PEGYLATED LIPOSOMAL DOXORUBICIN,214525,Ovarian cancer|Plasma cell myeloma|Breast cancer,MONDO:0008170|MONDO:0009693|MONDO:0007254,C1140680|C0026764|C0006142
917,SPIRIVA|Tiotropium|TIOTROPIUM BROMIDE,69120,Chronic obstructive pulmonary disease|Emphysema|Asthma|Bronchitis chronic|Lung disorder|Lung neoplasm malignant|Pulmonary fibrosis|Bronchiectasis|Pneumonia|Bronchitis|Pulmonary hypertension|Respiratory disorder,MONDO:0011751|MONDO:0004849|MONDO:0004979|MONDO:0003781|MONDO:0005275|MONDO:0008903|MONDO:0002771|MONDO:0004822|MONDO:0005249|MONDO:0003781|MONDO:0005149|MONDO:0005087,C0024117|C0034067|C0004096|C0008677|C0024115|C0242379|C0034069|C0006267|C0032285|C0006277|C0020542|C0035204
918,LEPIRUDIN,237057,,,
919,JANUVIA|SITAGLIPTIN|SITAGLIPTIN PHOSPHATE,593411,Type 2 diabetes mellitus|Diabetes mellitus|Type 1 diabetes mellitus,MONDO:0015122|MONDO:0015122|MONDO:0009100,C0011860|C0011849|C0011854
920,EPITOMAX|TOPAMAX|TOPIRAMATE|TOPIRAMATE 100 MG|TOPIRAMATE 50 MG|TOPIRAMATE.|TROKENDI,38404,Migraine|Epilepsy|Bipolar disorder|Infantile spasms|Status epilepticus|Migraine with aura|Depression|Essential tremor|Cluster headache|Post-traumatic stress disorder|Affective disorder|Alcoholism|Intracranial pressure increased,MONDO:0008000|MONDO:0005027|MONDO:0004985|MONDO:0018097|MONDO:0002125|MONDO:0005475|MONDO:0002050|MONDO:0003233|MONDO:0043537|MONDO:0005146|MONDO:0005371|MONDO:0007079|MONDO:0006810,C0149931|C0014544|C0005586|C0037769|C0038220|C0154723|C0011570|C0270736|C0009088|C0038436|C0525045|C0001973|C0151740
921,BLEOMYCIN|BLEOMYCIN SULFATE,1622,Hodgkin's disease,MONDO:0009348,C0019829
922,BASILIXIMAB|SIMULECT,196102,,,
923,Enalapril|ENALAPRIL MALEATE|ENALAPRIL MALEATE.|Enalapril/Hydrochlorothiazide,214536,Hypertension,MONDO:0005044,C0020538
924,FARESTON|TOREMIFENE|TOREMIFENE CITRATE,38409,Breast cancer,MONDO:0007254,C0006142
925,HONEY BEE VENOM,124427,,,
926,Demadex|TORASEMIDE|TORSEMIDE|TORSEMIDE.,38413,,,
927,DABRAFENIB|Tafinlar,1424911,Malignant melanoma|Metastatic malignant melanoma|Non-small cell lung cancer|Neoplasm malignant|Colorectal cancer|Lung neoplasm malignant|Skin cancer,MONDO:0005105|MONDO:0005191|MONDO:0005233|MONDO:0004992|MONDO:0005575|MONDO:0008903|MONDO:0002898,C0025202|C0860594|C0007131|C0006826|C1527249|C0242379|C0007114
928,Idamycin|Idarubicin|IDARUBICIN HYDROCHLORIDE.,5650,Acute myeloid leukaemia|Acute promyelocytic leukaemia,MONDO:0018874|MONDO:0012883,C0023467|C0023487
929,ENTRESTO|SACUBITRIL-VALSARTAN|SACUBITRIL/VALSARTAN,1656339,Cardiac failure|Cardiac failure congestive|Cardiac disorder|Cardiomyopathy|Congestive cardiomyopathy|Hypertension,MONDO:0005252|MONDO:0005009|MONDO:0005267|MONDO:0004994|MONDO:0005021|MONDO:0005044,C0018801|C0018802|C0018799|C0878544|C0007193|C0020538
930,AVALIDE|HYDROCHLOROTHIAZIDE/IRBESARTAN|Irbesartan|IRBESARTAN 150 MG|IRBESARTAN 300 MG|IRBESARTAN.,214617,Hypertension,MONDO:0005044,C0020538
931,IFEX|IFOSFAMIDE|IFOSFAMIDE INJECTION|IFOSFAMIDE.,5657,Diffuse large B-cell lymphoma|Ewing's sarcoma,MONDO:0018905|MONDO:0012817,C0079744|C0553580
932,ENBREL|etanercept,214555,Rheumatoid arthritis|Psoriatic arthropathy|Psoriasis|Ankylosing spondylitis|Juvenile idiopathic arthritis|Arthritis|Spondyloarthropathy|Polyarthritis|Osteoarthritis|Spondylitis|Behcet's syndrome|Arthropathy|Systemic lupus erythematosus|Arthritis reactive|Spinal osteoarthritis|Reiter's syndrome|Juvenile psoriatic arthritis|Crohn's disease|Autoimmune disorder|Polymyalgia rheumatica|Sjogren's syndrome|Osteoporosis|Hidradenitis|Sarcoidosis|Connective tissue disorder|Fibromyalgia|Guttate psoriasis|Tumour necrosis factor receptor-associated periodic syndrome|Chronic recurrent multifocal osteomyelitis|Mixed connective tissue disease|Still's disease|Colitis ulcerative|Palindromic rheumatism|Pityriasis rubra pilaris,MONDO:0008383|MONDO:0011849|MONDO:0005083|MONDO:0005306|MONDO:0011429|MONDO:0005578|MONDO:0005095|MONDO:0024280|MONDO:0008143|MONDO:0003937|MONDO:0007191|MONDO:0006816|MONDO:0007915|MONDO:0017376|MONDO:0005095|MONDO:0017376|MONDO:0019436|MONDO:0005011|MONDO:0007179|MONDO:0019735|MONDO:0010030|MONDO:0005298|MONDO:0002260|MONDO:0019338|MONDO:0003900|MONDO:0005546|MONDO:0023297|MONDO:0007727|MONDO:0009813|MONDO:0016663|MONDO:0019434|MONDO:0005101|MONDO:0001332|MONDO:0008251,C0003873|C0003872|C0033860|C0038013|C3495559|C0003864|C0949691|C0162323|C0029408|C0038012|C0004943|C0022408|C0024141|C0085435|C0949690|C0035012|C3714758|C0010346|C0004364|C0032533|C1527336|C0029456|C0085160|C0036202|C0009782|C0016053|C0343052|C1275126|C0410422|C0026272|C0087031|C0009324|C0085574|C0032027
933,ETHINYL ESTRADIOL\LEVONORGESTREL|LEVONORGESTREL|LEVONORGESTREL.,214558,,,
934,DOBUTAMINE|DOBUTAMINE HYDROCHLORIDE|DOBUTAMINE HYDROCHLORIDE.,3616,Cardiac failure,MONDO:0005252,C0018801
935,MILRINONE|MILRINONE LACTATE|MILRINONE LACTATE.,52769,,,
936,SENNA|SENOKOT,36387,Constipation,MONDO:0002203,C0009806
937,ENOXAPARIN|ENOXAPARIN SODIUM|ENOXAPARIN SODIUM.|LOVENOX,67108,Thrombosis|Pulmonary embolism|Atrial fibrillation,MONDO:0000831|MONDO:0005279|MONDO:0004981,C0040053|C0034065|C0004238
938,DALTEPARIN|DALTEPARIN SODIUM|FRAGMIN|FRAGMINE,67109,Pulmonary embolism,MONDO:0005279,C0034065
939,NEVIRAPINE|NEVIRAPINE.|VIRAMUNE,53654,HIV infection|Acquired immunodeficiency syndrome,MONDO:0005109|MONDO:0012268,C0019693|C0001175
940,BENICAR|OLMESARTAN|OLMESARTAN MEDOXOMIL|OLMESARTAN MEDOXOMIL.,321064,Hypertension|Essential hypertension,MONDO:0005044|MONDO:0007781,C0020538|C0085580
941,DOMPERIDONE,3626,,,
942,DOPAMINE|DOPAMINE HYDROCHLORIDE|DOPAMINE HYDROCHLORIDE.,3628,,,
943,DRISDOL|VITAMIN D2,4018,,,
944,ONGLYZA|SAXAGLIPTIN,857974,Type 2 diabetes mellitus|Diabetes mellitus,MONDO:0015122|MONDO:0015122,C0011860|C0011849
945,SABRIL|Sabrilex|VIGABATRIN|VIGABATRIN.,14851,Infantile spasms|Epilepsy|Tuberous sclerosis|Temporal lobe epilepsy|Lennox-Gastaut syndrome|Idiopathic generalised epilepsy,MONDO:0018097|MONDO:0005027|MONDO:0008612|MONDO:0005115|MONDO:0016532|MONDO:0010918,C0037769|C0014544|C0041341|C0014556|C0238111|C0270850
946,DOSULEPIN,3634,,,
947,RUBRACA|Rucaparib,1862579,Ovarian cancer|Fallopian tube cancer|Malignant peritoneal neoplasm,MONDO:0008170|MONDO:0006206|MONDO:0002087,C1140680|C0238122|C0153467
948,BIOTIN,1588,,,
949,Carbidopa / Levodopa|CARBIDOPA.|CARBIDOPA/LEVODOPA|DUOPA|LEVODOPA|RYTARY|SINEMET,103990,Parkinson's disease|Parkinsonism,MONDO:0005180|MONDO:0019059,C0030567|C0242422
950,ADRIAMYCIN|DOXORUBICIN|DOXORUBICIN HYDROCHLORIDE|DOXORUBICIN HYDROCHLORIDE.,3639,Diffuse large B-cell lymphoma|Breast cancer|Hodgkin's disease|Plasma cell myeloma|B-cell lymphoma|Non-Hodgkin's lymphoma|Acute lymphocytic leukaemia|Ewing's sarcoma|Hepatocellular carcinoma|Lymphoma|Osteosarcoma|Mantle cell lymphoma|Ovarian cancer|Peripheral T-cell lymphoma unspecified|Nephroblastoma|Burkitt's lymphoma|Neuroblastoma|Neoplasm malignant|Acute myeloid leukaemia|Invasive ductal breast carcinoma|Triple negative breast cancer|Plasmablastic lymphoma|Chronic lymphocytic leukaemia|Precursor T-lymphoblastic lymphoma/leukaemia|T-cell lymphoma|Ovarian epithelial cancer|Pancreatic neuroendocrine tumour|Hepatoblastoma|Transitional cell carcinoma|Primary mediastinal large B-cell lymphoma|Rhabdomyosarcoma|Haematological malignancy|T-cell type acute leukaemia|Post transplant lymphoproliferative disorder,MONDO:0018905|MONDO:0007254|MONDO:0009348|MONDO:0009693|MONDO:0004095|MONDO:0011508|MONDO:0013108|MONDO:0012817|MONDO:0007256|MONDO:0005062|MONDO:0021054|MONDO:0018876|MONDO:0008170|MONDO:0000430|MONDO:0008679|MONDO:0007243|MONDO:0009741|MONDO:0004992|MONDO:0018874|MONDO:0004953|MONDO:0005494|MONDO:0017347|MONDO:0004948|MONDO:0003537|MONDO:0015760|MONDO:0018364|MONDO:0019954|MONDO:0018666|MONDO:0006474|MONDO:0020323|MONDO:0005212|MONDO:0002334|MONDO:0020512|MONDO:0019088,C0079744|C0006142|C0019829|C0026764|C0079731|C0024305|C0023449|C0553580|C2239176|C0024299|C0029463|C0334634|C1140680|C0079774|C0027708|C0006413|C0027819|C0006826|C0023467|C1134719|C3539878|C3472614|C0023434|C1301359|C0079772|C0677886|C0242363|C0206624|C0007138|C1292754|C0035412|C0376545|C1961099|C0432487
951,ALCLOMETASONE|Alclometasone Dipropionate|ALCLOMETASONE DIPROPIONATE.,108088,,,
952,ARCALYST|RILONACEPT,763450,,,
953,EPROSARTAN|TEVETEN,83515,,,
954,Bisacodyl|BISACODYL.|DULCOLAX,1596,Constipation,MONDO:0002203,C0009806
955,DROPERIDOL|DROPERIDOL.,3648,,,
956,Silvadene|SILVER SULFADIAZINE|SILVER SULFADIAZINE.,9793,,,
957,AFRIN|NOSTRILLA|OXYMETAZOLINE|OXYMETAZOLINE HYDROCHLORIDE|OXYMETAZOLINE HYDROCHLORIDE.|RHOFADE,7812,Rosacea|Nasopharyngitis,MONDO:0006604|MONDO:0001040,C0035854|C0027441
958,BACITRACIN|BACITRACIN ZINC|BACITRACIN ZINC.|BACITRACIN.,1291,,,
959,DULCOGAS|GAS-X|GAS-X EXTRA STRENGTH,9796,,,
960,BACLOFEN|BACLOFEN.|GABLOFEN|LIORESAL,1292,Cerebral palsy|Multiple sclerosis|Alcoholism|Alcohol withdrawal syndrome|Dystonia|Cerebrovascular accident,MONDO:0006497|MONDO:0005301|MONDO:0007079|MONDO:0005433|MONDO:0003441|MONDO:0005098,C0007789|C0026769|C0001973|C0236663|C0013421|C0038454
961,DEMEROL|MEPERIDINE|MEPERIDINE HYDROCHLORIDE|MEPERIDINE HYDROCHLORIDE.,6754,,,
962,AVELUMAB|BAVENCIO,1875534,Neuroendocrine carcinoma of the skin|Non-small cell lung cancer|Renal cell carcinoma|Ovarian cancer,MONDO:0019210|MONDO:0005233|MONDO:0005549|MONDO:0008170,C0007129|C0007131|C0007134|C1140680
963,CRIZOTINIB|Xalkori,1148495,Lung neoplasm malignant|Non-small cell lung cancer|Neoplasm malignant|Lung adenocarcinoma|Bronchial carcinoma|Adenocarcinoma|Neuroblastoma|Inflammatory myofibroblastic tumour,MONDO:0008903|MONDO:0005233|MONDO:0004992|MONDO:0008903|MONDO:0002806|MONDO:0004970|MONDO:0009741|MONDO:0015798,C0242379|C0007131|C0006826|C0152013|C0007121|C0001418|C0027819|C0334121
964,METARAMINOL,6805,,,
965,Oxandrolone|OXANDROLONE.,7779,,,
966,ALLEGRA|FEXOFENADINE|FEXOFENADINE HYDROCHLORIDE|FEXOFENADINE HYDROCHLORIDE.|TELFAST,87636,Hypersensitivity|Seasonal allergy|Urticaria|Rash|Nasopharyngitis|Rhinitis allergic|Sinus disorder|Sinusitis|Rhinitis,MONDO:0005271|MONDO:0005324|MONDO:0005492|MONDO:0006547|MONDO:0001040|MONDO:0011786|MONDO:0001735|MONDO:0005961|MONDO:0003014,C0020517|C0018621|C0042109|C0015230|C0027441|C2607914|C0030469|C0037199|C0035455
967,Altruline|LUSTRAL|SERTRALINE|SERTRALINE 50 MG|SERTRALINE HYDROCHLORIDE|SERTRALINE HYDROCHLORIDE.|Zoloft,36437,Depression|Anxiety|Obsessive-compulsive disorder|Anxiety disorder|Bipolar disorder|Post-traumatic stress disorder|Generalised anxiety disorder|Panic disorder|Mental disorder|Schizophrenia|Postpartum depression,MONDO:0002050|MONDO:0011918|MONDO:0008114|MONDO:0005618|MONDO:0004985|MONDO:0005146|MONDO:0001942|MONDO:0005383|MONDO:0002025|MONDO:0005090|MONDO:0005929,C0011570|C0003467|C0028768|C0003469|C0005586|C0038436|C0270549|C0030319|C0004936|C0036341|C0221074
968,ASMANEX|ELOCON|MOMETASONE|MOMETASONE FUROATE|MOMETASONE FUROATE.|NASONEX,108118,Asthma|Hypersensitivity|Rhinitis allergic|Seasonal allergy|Sinusitis|Chronic obstructive pulmonary disease|Rhinitis|Eczema|Sinus disorder|Nasal polyps,MONDO:0004979|MONDO:0005271|MONDO:0011786|MONDO:0005324|MONDO:0005961|MONDO:0011751|MONDO:0003014|MONDO:0004980|MONDO:0001735|MONDO:0006314,C0004096|C0020517|C2607914|C0018621|C0037199|C0024117|C0035455|C0013595|C0030469|C0027430
969,SUNITINIB|SUNITINIB MALATE|SUNITINIB MALATE.|Sutent,357977,Renal cell carcinoma|Renal cancer|Gastrointestinal stromal tumour|Neoplasm malignant|Pancreatic neuroendocrine tumour|Clear cell renal cell carcinoma|Pancreatic carcinoma|Renal neoplasm|Neuroendocrine tumour|Thyroid cancer|Lung neoplasm malignant|Gastric cancer|Carcinoid tumour|Malignant urinary tract neoplasm|Hepatic cancer|Connective tissue neoplasm|Malignant neoplasm of renal pelvis|Neuroendocrine carcinoma|Gastrointestinal carcinoma|Malignant neoplasm of thymus,MONDO:0005549|MONDO:0002367|MONDO:0011719|MONDO:0004992|MONDO:0019954|MONDO:0005005|MONDO:0016314|MONDO:0002367|MONDO:0019496|MONDO:0002108|MONDO:0008903|MONDO:0001056|MONDO:0005369|MONDO:0020032|MONDO:0002691|MONDO:0002176|MONDO:0005519|MONDO:0002120|MONDO:0006181|MONDO:0002586,C0007134|C0740457|C0238198|C0006826|C0242363|C0279702|C0235974|C0022665|C0206754|C0007115|C0242379|C0024623|C0007095|C0751571|C0345904|C0027656|C0153618|C0206695|C0151544|C0751552
970,HYDROCHLOROTHIAZIDE / LISINOPRIL|HYDROCHLOROTHIAZIDE/LISINOPRIL|HYDROCHLOROTHIAZIDE\LISINOPRIL|LISINOPRIL|LISINOPRIL 10 MG|LISINOPRIL 10 MG.|LISINOPRIL 20 MG|LISINOPRIL.|PRINZIDE|ZESTORETIC,214618,Hypertension|Diabetes mellitus|Cardiac failure congestive|Cardiac disorder|Essential hypertension|Cardiac failure|Angioedema|Proteinuria,MONDO:0005044|MONDO:0015122|MONDO:0005009|MONDO:0005267|MONDO:0007781|MONDO:0005252|MONDO:0010481|MONDO:0003634,C0020538|C0011849|C0018802|C0018799|C0085580|C0018801|C0002994|C0033687
971,HYDROCHLOROTHIAZIDE/LOSARTAN|HYZAAR|LOSARTAN|LOSARTAN POTASSIUM|LOSARTAN POTASSIUM 50 MG|LOSARTAN POTASSIUM.|LOSARTAN.,214619,Hypertension|Essential hypertension,MONDO:0005044|MONDO:0007781,C0020538|C0085580
972,AZILECT|RASAGILINE|RASAGILINE MESYLATE.|RASAGILINE.,134748,Parkinson's disease,MONDO:0005180,C0030567
973,OXACILLIN|OXACILLIN SODIUM,7773,,,
974,OXAZEPAM|OXAZEPAM.,7781,,,
975,Velaglucerase alfa|VPRIV,901805,Gaucher's disease,MONDO:0018150,C0017205
976,DIOVAN HCT|HYDROCHLOROTHIAZIDE/VALSARTAN|HYDROCHLOROTHIAZIDE\VALSARTAN,214626,Hypertension,MONDO:0005044,C0020538
977,HYDROCODONE/IBUPROFEN|VICOPROFEN,214627,,,
978,Axid AR|NIZATIDINE|NIZATIDINE.,42319,,,
979,SEVOFLURANE|SEVOFLURANE.|SEVORANE|ULTANE,36453,,,
980,LEVALBUTEROL|Levalbuterol hydrochloride|LEVALBUTEROL HYDROCHLORIDE.|LEVALBUTEROL TARTRATE.|LEVALBUTEROL.|XOPENEX,237159,Asthma|Chronic obstructive pulmonary disease,MONDO:0004979|MONDO:0011751,C0004096|C0024117
981,CANAGLIFLOZIN|CANAGLIFLOZIN 300 MG|INVOKANA,1373458,Type 2 diabetes mellitus|Diabetes mellitus|Type 1 diabetes mellitus,MONDO:0015122|MONDO:0015122|MONDO:0009100,C0011860|C0011849|C0011854
982,ONDANSETRON|ONDANSETRON HYDROCHLORIDE|ONDANSETRON HYDROCHLORIDE.|ONDANSETRON INJECTION|ONDANSETRON.|Zofran,26225,Gastroenteritis,MONDO:0002269,C0017160
983,Abraxane|PACLITAXEL|PACLITAXEL 6 MG/ML|PACLITAXEL INJECTION|PACLITAXEL.,56946,Breast cancer|Pancreatic carcinoma|Non-small cell lung cancer|Ovarian cancer|Adenocarcinoma pancreas|Lung neoplasm malignant|Neoplasm malignant|Gastric cancer|Invasive ductal breast carcinoma|Cervix carcinoma|Squamous cell carcinoma of lung|Oesophageal carcinoma|Ductal adenocarcinoma of pancreas|Lung adenocarcinoma|Squamous cell carcinoma of head and neck|Endometrial cancer|Triple negative breast cancer|Ovarian epithelial cancer|Cholangiocarcinoma|Adenocarcinoma gastric|Adenocarcinoma|Uterine cancer|Metastatic malignant melanoma|Malignant melanoma,MONDO:0007254|MONDO:0016314|MONDO:0005233|MONDO:0008170|MONDO:0006047|MONDO:0008903|MONDO:0004992|MONDO:0001056|MONDO:0004953|MONDO:0016274|MONDO:0005097|MONDO:0007576|MONDO:0005184|MONDO:0008903|MONDO:0010150|MONDO:0011962|MONDO:0005494|MONDO:0018364|MONDO:0019087|MONDO:0005036|MONDO:0004970|MONDO:0016252|MONDO:0005191|MONDO:0005105,C0006142|C0235974|C0007131|C1140680|C0281361|C0242379|C0006826|C0024623|C1134719|C0302592|C0149782|C0152018|C1335302|C0152013|C1168401|C0476089|C3539878|C0677886|C0206698|C0278701|C0001418|C0153567|C0860594|C0025202
984,IXABEPILONE|IXEMPRA,337523,Breast cancer,MONDO:0007254,C0006142
985,CROMOGLICIC ACID|CROMOLYN SODIUM|CROMOLYN SODIUM.|GASTROCROM|NASALCROM,42612,,,
986,ERLOTINIB|ERLOTINIB HCL|ERLOTINIB HYDROCHLORIDE|TARCEVA,337525,Lung neoplasm malignant|Non-small cell lung cancer|Pancreatic carcinoma|Neoplasm malignant|Lung adenocarcinoma|Bronchial carcinoma|Lung carcinoma cell type unspecified stage 0|Renal cancer|Brain neoplasm malignant|Tracheal cancer|Hepatic cancer|Oesophageal squamous cell carcinoma|Lung neoplasm|Cholangiocarcinoma|Breast cancer|Bone cancer|Colon cancer|Small cell lung cancer|Head and neck cancer|Adenocarcinoma|Squamous cell carcinoma of lung|Hepatocellular carcinoma|Oesophageal carcinoma|Gallbladder cancer|Malignant urinary tract neoplasm|Adenocarcinoma pancreas|Squamous cell carcinoma,MONDO:0008903|MONDO:0005233|MONDO:0016314|MONDO:0004992|MONDO:0008903|MONDO:0002806|MONDO:0004660|MONDO:0002367|MONDO:0001657|MONDO:0003184|MONDO:0002691|MONDO:0005580|MONDO:0002732|MONDO:0019087|MONDO:0007254|MONDO:0002129|MONDO:0021063|MONDO:0008433|MONDO:0005627|MONDO:0004970|MONDO:0005097|MONDO:0007256|MONDO:0007576|MONDO:0018918|MONDO:0020032|MONDO:0006047|MONDO:0000500,C0242379|C0007131|C0235974|C0006826|C0152013|C0007121|C0685053|C0740457|C0153633|C1744708|C0345904|C0279626|C0024121|C0206698|C0006142|C0279530|C0007102|C0149925|C0278996|C0001418|C0149782|C2239176|C0152018|C0153452|C0751571|C0281361|C0007137
987,OXAYDO|OXYCONTIN|OXYFAST|Roxicodone|XTAMPZA,7804,Drug abuse|Intervertebral disc degeneration|Drug dependence|Injury|Fibromyalgia,MONDO:0002491|MONDO:0011385|MONDO:0005303|MONDO:0021178|MONDO:0005546,C0013146|C0158266|C1510472|C3263723|C0016053
988,PLACEBO,8375,Type 2 diabetes mellitus|Non-small cell lung cancer|Coronary artery disease|Chronic obstructive pulmonary disease,MONDO:0015122|MONDO:0005233|MONDO:0005010|MONDO:0011751,C0011860|C0007131|C1956346|C0024117
989,Mefloquine|Mefloquine Hydrochloride|MEFLOQUINE HYDROCHLORIDE.,6694,,,
990,COLACE|DOCUSATE|DOCUSATE SODIUM|DOCUSATE SODIUM.|DULCOEASE|DULCOLAX STOOL SOFTENER,82003,Constipation,MONDO:0002203,C0009806
991,FEBUXOSTAT|FEBUXOSTAT.|ULORIC,73689,Gout|Hyperuricaemia,MONDO:0005393|MONDO:0002144,C0018099|C0740394
992,CEFTAROLINE FOSAMIL|TEFLARO,1040004,Staphylococcal infection,MONDO:0024313,C0038160
993,CEFTAROLINE,1040005,,,
994,BOSENTAN|BOSENTAN.|TRACLEER,75207,Pulmonary arterial hypertension|Pulmonary hypertension|Cor pulmonale chronic|Heart disease congenital|Connective tissue disorder|Systemic sclerosis|Portopulmonary hypertension|Scleroderma,MONDO:0015924|MONDO:0005149|MONDO:0001493|MONDO:0005453|MONDO:0003900|MONDO:0005100|MONDO:0017154|MONDO:0019340,C2973725|C0020542|C0238074|C0152021|C0009782|C0036421|C1868851|C0011644
995,MURO 128|SODIUM CHLORIDE|SODIUM CHLORIDE INJECTION|SODIUM CHLORIDE.,9863,,,
996,HERCEPTIN|Trastuzumab|TRASTUZUMAB.,224905,Breast cancer|Gastric cancer|Invasive ductal breast carcinoma|Neoplasm malignant|Oesophageal adenocarcinoma|Oesophageal carcinoma|Metastatic neoplasm|Ovarian cancer|Adenocarcinoma gastric,MONDO:0007254|MONDO:0001056|MONDO:0004953|MONDO:0004992|MONDO:0013662|MONDO:0007576|MONDO:0024882|MONDO:0008170|MONDO:0005036,C0006142|C0024623|C1134719|C0006826|C0279628|C0152018|C2939419|C1140680|C0278701
997,NIRAPARIB|ZEJULA,1918231,Ovarian cancer|Malignant peritoneal neoplasm|Fallopian tube cancer|Neoplasm malignant,MONDO:0008170|MONDO:0002087|MONDO:0006206|MONDO:0004992,C1140680|C0153467|C0238122|C0006826
998,REGORAFENIB|REGORAFENIB.|Stivarga,1312397,Colon cancer|Colorectal cancer|Rectal cancer|Hepatocellular carcinoma|Gastrointestinal stromal tumour|Adenocarcinoma of colon|Rectosigmoid cancer|Neoplasm malignant|Hepatic cancer|Rectal adenocarcinoma,MONDO:0021063|MONDO:0005575|MONDO:0006519|MONDO:0007256|MONDO:0011719|MONDO:0002271|MONDO:0002424|MONDO:0004992|MONDO:0002691|MONDO:0002169,C0007102|C1527249|C0007113|C2239176|C0238198|C0338106|C1327709|C0006826|C0345904|C0149978
999,INDOCYANINE GREEN|INDOCYANINE GREEN.,5775,,,
1000,OXYTOCIN|OXYTOCIN.|PITOCIN,7824,,,
1001,CREST|LISTERINE|PREVIDENT|SODIUM FLUORIDE|SODIUM FLUORIDE.,9873,,,
1002,Requip|ROPINIROLE|ROPINIROLE HYDROCHLORIDE|ROPINIROLE HYDROCHLORIDE.|ROPINIROLE.,72302,Parkinson's disease|Restless legs syndrome|Parkinsonism,MONDO:0005180|MONDO:0005391|MONDO:0019059,C0030567|C0035258|C0242422
1003,EDARAVONE|RADICAVA,1921877,Amyotrophic lateral sclerosis,MONDO:0004976,C0002736
1004,KEYTRUDA|PEMBROLIZUMAB.,1547545,Malignant melanoma|Metastatic malignant melanoma|Non-small cell lung cancer|Lung adenocarcinoma|Lung neoplasm malignant|Squamous cell carcinoma of lung|Neoplasm malignant|Transitional cell carcinoma|Head and neck cancer|Bladder cancer|Neuroendocrine carcinoma of the skin|Breast cancer|Mesothelioma|Gastric cancer|Ovarian cancer|Oesophageal carcinoma|Pancreatic carcinoma|Squamous cell carcinoma of head and neck|Triple negative breast cancer|Hodgkin's disease|Colon cancer|Prostate cancer|Small cell lung cancer|Plasma cell myeloma|Glioblastoma|Malignant glioma|Squamous cell carcinoma|Renal cell carcinoma|Bladder transitional cell carcinoma|Adenocarcinoma|Colorectal cancer,MONDO:0005105|MONDO:0005191|MONDO:0005233|MONDO:0008903|MONDO:0008903|MONDO:0005097|MONDO:0004992|MONDO:0006474|MONDO:0005627|MONDO:0001187|MONDO:0019210|MONDO:0007254|MONDO:0002373|MONDO:0001056|MONDO:0008170|MONDO:0007576|MONDO:0016314|MONDO:0010150|MONDO:0005494|MONDO:0009348|MONDO:0021063|MONDO:0008315|MONDO:0008433|MONDO:0009693|MONDO:0018177|MONDO:0015917|MONDO:0000500|MONDO:0005549|MONDO:0005611|MONDO:0004970|MONDO:0005575,C0025202|C0860594|C0007131|C0152013|C0242379|C0149782|C0006826|C0007138|C0278996|C0005684|C0007129|C0006142|C0025500|C0024623|C1140680|C0152018|C0235974|C1168401|C3539878|C0019829|C0007102|C0376358|C0149925|C0026764|C0017636|C0555198|C0007137|C0007134|C0279680|C0001418|C1527249
1005,ELOTUZUMAB|ELOTUZUMAB.|EMPLICITI,1726104,Plasma cell myeloma,MONDO:0009693,C0026764
